	fo		Io 		Eo	     gammaNH3o 	     H2HeBroad
  2.6983959e+000  1.3607530e-036  5.8492745e+003  1.4051737e+001  2.1054946e+000
  2.7117310e+000  3.4544531e-033  4.1759475e+003  1.4051737e+001  2.1054946e+000
  2.7767845e+000  1.0699890e-032  3.5872905e+003  6.6500000e+000  8.6453499e-002
  2.8527972e+000  1.8513106e-033  3.3072725e+003  1.4000000e+000  2.9617020e-003
  2.8820452e+000  1.7917578e-035  5.4662334e+003  1.4051737e+001  2.1054946e+000
  2.9140357e+000  7.2506893e-034  4.4586164e+003  2.8000000e+000  1.2306406e-002
  2.9294711e+000  8.1880276e-033  3.2974598e+003  2.8000000e+000  1.2306406e-002
  3.0418049e+000  9.3363967e-033  3.8367266e+003  1.4051737e+001  2.1054946e+000
  3.0588271e+000  3.8947474e-039  7.3607977e+003  1.4051737e+001  2.1054946e+000
  3.0835131e+000  5.5973092e-035  5.0942544e+003  7.9800000e+000  1.3907880e-001
  3.0870754e+000  4.5350209e-032  3.5513834e+003  7.9800000e+000  1.3907880e-001
  3.1398382e+000  1.4173571e-038  6.9402813e+003  1.4051737e+001  2.1054946e+000
  3.1998270e+000  4.0140178e-033  4.1142145e+003  1.4051737e+001  2.1054946e+000
  3.2538023e+000  4.8896672e-032  3.2580910e+003  5.6100000e+000  5.6992824e-002
  3.2690654e+000  1.0115312e-037  6.5304356e+003  1.4051737e+001  2.1054946e+000
  3.3069100e+000  3.3119159e-034  4.7334169e+003  1.4051737e+001  2.1054946e+000
  3.4207756e+000  1.3889266e-036  6.1313837e+003  9.3100000e+000  2.1436526e-001
  3.4259486e+000  4.6738987e-032  3.5087498e+003  9.3100000e+000  2.1436526e-001
  3.5205681e+000  1.0319990e-031  3.2284441e+003  7.0100000e+000  9.8832082e-002
  3.5271164e+000  4.1636987e-032  3.7810855e+003  1.4051737e+001  2.1054946e+000
  3.5569732e+000  3.7049239e-033  4.3837939e+003  1.4800000e+000  3.3151140e-003
  3.5712341e+000  1.5965381e-032  2.9665339e+003  1.4800000e+000  3.3151140e-003
  3.5864140e+000  4.5507114e-036  5.7432404e+003  1.4051737e+001  2.1054946e+000
  3.6663740e+000  7.0595870e-032  2.9565986e+003  2.9600000e+000  1.3835752e-002
  3.7653157e+000  2.8358242e-035  5.3661106e+003  1.4051737e+001  2.1054946e+000
  3.8389987e+000  9.7651585e-033  4.0454533e+003  8.4100000e+000  1.6066987e-001
  3.8596889e+000  4.2567613e-031  3.1920653e+003  8.4100000e+000  1.6066987e-001
  3.9036443e+000  1.0066519e-031  3.4592854e+003  1.0640000e+001  3.2057483e-001
  3.9601658e+000  3.3556704e-034  5.0000887e+003  1.4051737e+001  2.1054946e+000
  4.0704672e+000  4.2157932e-031  2.9167368e+003  5.9300000e+000  6.5125036e-002
  4.1589864e+000  4.8392638e-032  3.7184586e+003  4.4500000e+000  3.3359967e-002
  4.1749745e+000  9.4054439e-034  4.6452605e+003  4.4500000e+000  3.3359967e-002
  4.1762570e+000  4.4645665e-031  2.9400059e+003  4.4500000e+000  3.3359967e-002
  4.3388973e+000  4.5069143e-031  3.1488656e+003  9.8100000e+000  2.5040547e-001
  4.4024868e+000  8.8977315e-031  2.8867151e+003  7.4100000e+000  1.1416826e-001
  4.4078175e+000  8.5463229e-039  7.2228526e+003  1.5700000e+000  3.7361550e-003
  4.4098941e+000  1.2304934e-031  2.6431358e+003  1.5700000e+000  3.7361550e-003
  4.4143169e+000  4.9886071e-033  4.3017040e+003  1.5700000e+000  3.7361550e-003
  4.4727690e+000  1.1922829e-037  6.8083222e+003  1.4051737e+001  2.1054946e+000
  4.5238615e+000  4.4913748e-031  3.4028689e+003  1.1970000e+001  4.6856011e-001
  4.5268055e+000  5.4422601e-031  2.6330810e+003  1.1970000e+001  4.6856011e-001
  4.5816955e+000  4.0362615e-037  6.4044674e+003  1.4051737e+001  2.1054946e+000
  4.6831668e+000  4.9966542e-032  3.9694911e+003  1.4051737e+001  2.1054946e+000
  4.7103919e+000  2.6198673e-036  6.0114143e+003  1.4051737e+001  2.1054946e+000
  4.8512476e+000  3.2432416e-035  5.6292852e+003  8.8900000e+000  1.8783205e-001
  4.8520583e+000  3.7126097e-030  2.8498733e+003  8.8900000e+000  1.8783205e-001
  4.9418176e+000  9.7113431e-031  3.0987391e+003  1.1210000e+001  3.7871867e-001
  4.9869898e+000  1.1786349e-031  3.6486886e+003  6.2900000e+000  7.5198266e-002
  5.0041741e+000  9.5472720e-035  5.2581941e+003  6.2900000e+000  7.5198266e-002
  5.0245829e+000  3.2507180e-030  2.5927382e+003  6.2900000e+000  7.5198266e-002
  5.1721555e+000  5.3367800e-034  4.8982443e+003  1.4051737e+001  2.1054946e+000
  5.3319382e+000  5.2249158e-031  3.3393586e+003  1.3300000e+001  6.7232994e-001
  5.3592676e+000  5.6582131e-033  4.5495289e+003  1.6700000e+000  4.2433650e-003
  5.3749776e+000  8.4894450e-031  2.3373174e+003  1.6700000e+000  4.2433650e-003
  5.4225169e+000  3.8893703e-030  2.8061200e+003  1.0370000e+001  2.9641337e-001
  5.4332400e+000  6.8656126e-030  2.5623512e+003  7.8600000e+000  1.3349381e-001
  5.5171582e+000  3.7547351e-030  2.3271468e+003  3.3500000e+000  1.7913756e-002
  5.5699362e+000  1.4202974e-032  4.2121321e+003  1.4051737e+001  2.1054946e+000
  5.7250900e+000  4.3378976e-030  3.0415592e+003  1.2620000e+001  5.5974192e-001
  5.8087810e+000  6.7418533e-032  3.8861306e+003  1.4051737e+001  2.1054946e+000
  5.9739300e+000  2.8541665e-029  2.5250581e+003  9.4300000e+000  2.2264434e-001
  6.0807066e+000  6.0419802e-031  3.5715950e+003  6.6900000e+000  8.7895189e-002
  6.1233700e+000  2.2458425e-029  2.2863369e+003  6.6900000e+000  8.7895189e-002
  6.1746901e+000  8.3903349e-030  2.7553444e+003  1.1860000e+001  4.5395747e-001
  6.3910840e+000  1.2749093e-030  3.2685906e+003  1.4630000e+001  9.4969030e-001
  6.4386400e+000  4.1838807e-028  1.7516401e+003  5.7600000e+000  6.0883346e-002
  6.4666869e+000  4.0297611e-038  7.0759170e+003  1.7900000e+000  4.8621390e-003
  6.4692718e+000  5.2490329e-030  2.0493122e+003  1.7900000e+000  4.8621390e-003
  6.4835516e+000  2.6889288e-037  6.6675616e+003  1.4051737e+001  2.1054946e+000
  6.5292663e+000  1.1772787e-038  7.4948521e+003  1.4051737e+001  2.1054946e+000
  6.5332302e+000  3.4488896e-036  6.2698870e+003  1.4051737e+001  2.1054946e+000
  6.5979742e+000  1.0565238e-035  5.8830140e+003  8.3700000e+000  1.5832888e-001
  6.6211500e+000  4.7465635e-029  2.2555952e+003  8.3700000e+000  1.5832888e-001
  6.6402300e+000  2.3220913e-029  2.0390297e+003  3.5800000e+000  2.0681086e-002
  6.6737607e+000  6.1656561e-035  5.5070679e+003  1.1000000e+001  3.5632727e-001
  6.6904500e+000  3.0073176e-029  2.4807640e+003  1.1000000e+001  3.5632727e-001
  6.7459584e+000  5.0545128e-030  2.9771786e+003  1.4020000e+001  8.1183591e-001
  6.7623699e+000  6.8450921e-034  5.1421698e+003  1.4051737e+001  2.1054946e+000
  6.8676077e+000  1.8050087e-033  4.7884319e+003  1.4051737e+001  2.1054946e+000
  6.9937199e+000  9.0319037e-033  4.4459559e+003  1.4051737e+001  2.1054946e+000
  7.1448883e+000  8.5699699e-032  4.1148333e+003  1.3340000e+001  6.7919593e-001
  7.1523000e+000  3.7538706e-029  2.6974156e+003  1.3340000e+001  6.7919593e-001
  7.2858642e+000  1.9786970e-028  2.2178636e+003  1.0000000e+001  2.6822801e-001
  7.3252079e+000  1.9247720e-031  3.7951468e+003  7.1000000e+000  1.0422817e-001
  7.3700981e+000  1.3905266e-028  1.9977686e+003  7.1000000e+000  1.0422817e-001
  7.5388489e+000  8.1729586e-031  3.4869717e+003  1.4051737e+001  2.1054946e+000
  7.6180744e+000  6.4979939e-029  2.4293546e+003  1.2600000e+001  5.5337699e-001
  7.6910303e+000  2.9099083e-029  1.7793469e+003  1.9200000e+000  5.6280470e-003
  7.7902640e+000  6.5490649e-030  3.1903770e+003  1.5960000e+001  1.3229607e+000
  7.8944538e+000  1.2878916e-028  1.7689569e+003  3.8000000e+000  2.4160310e-002
  7.9693200e+000  2.9422481e-028  1.9666843e+003  8.9400000e+000  1.9098208e-001
  8.0844800e+000  1.2361731e-029  2.9054267e+003  1.5420000e+001  1.1584685e+000
  8.1528200e+000  2.0843915e-028  2.1730442e+003  1.1700000e+001  4.3615425e-001
  8.4268600e+000  4.3840883e-029  2.6321806e+003  1.4820000e+001  9.9662903e-001
  8.7628760e+000  7.7246586e-028  1.7272624e+003  7.7000000e+000  1.2574871e-001
  8.7669650e+000  1.2276634e-027  1.9285289e+003  7.7000000e+000  1.2574871e-001
  8.8241800e+000  2.9132603e-028  2.3706940e+003  1.4100000e+001  8.3911995e-001
  9.0330197e+000  1.4480358e-028  1.5276403e+003  2.1000000e+000  6.5921800e-003
  9.2652405e+000  1.2995090e-032  4.6703201e+003  4.2000000e+000  2.8624191e-002
  9.2722000e+000  6.4117901e-028  1.5171478e+003  4.2000000e+000  2.8624191e-002
  9.2747067e+000  3.0660505e-032  4.3342369e+003  4.2000000e+000  2.8624191e-002
  9.2833063e+000  1.3073121e-033  5.0176775e+003  1.3400000e+001  6.8792915e-001
  9.2836500e+000  4.5131451e-028  2.1210185e+003  1.3400000e+001  6.8792915e-001
  9.3153246e+000  1.3730277e-031  4.0095278e+003  1.4051737e+001  2.1054946e+000
  9.3246702e+000  2.5002262e-034  5.3761986e+003  1.4051737e+001  2.1054946e+000
  9.3846338e+000  9.0966042e-035  5.7457642e+003  9.6000000e+000  2.3508391e-001
  9.3902956e+000  1.1654115e-030  3.6962829e+003  9.6000000e+000  2.3508391e-001
  9.4590500e+000  7.8755211e-036  6.1262505e+003  9.6000000e+000  2.3508391e-001
  9.4760740e+000  1.6363617e-027  1.6958489e+003  9.6000000e+000  2.3508391e-001
  9.5026908e+000  2.3403418e-030  3.3945831e+003  1.4051737e+001  2.1054946e+000
  9.5471727e+000  1.2992098e-036  6.5175379e+003  1.4051737e+001  2.1054946e+000
  9.6557206e+000  8.8854473e-030  3.1045022e+003  1.7290000e+001  1.8197659e+000
  9.6580133e+000  4.0952394e-037  6.9195235e+003  1.7290000e+001  1.8197659e+000
  9.6708500e+000  2.4042482e-028  2.0218180e+003  5.3000000e+000  5.1377352e-002
  9.8143680e+000  1.2962217e-027  1.8832015e+003  1.2500000e+001  5.4535817e-001
  9.8228109e+000  3.1001257e-038  7.3321369e+003  1.2500000e+001  5.4535817e-001
  9.8530700e+000  6.3691180e-029  2.8261076e+003  1.6820000e+001  1.6291971e+000
  1.0098385e+001  1.0749278e-028  2.5594620e+003  1.6300000e+001  1.4377525e+000
  1.0116983e+001  4.5622523e-039  7.7553539e+003  1.4051737e+001  2.1054946e+000
  1.0293659e+001  3.8519381e-027  1.4750398e+003  8.4000000e+000  1.5492737e-001
  1.0397150e+001  3.4109810e-028  2.3046234e+003  1.5700000e+001  1.2469151e+000
  1.0426949e+001  6.8403653e-027  1.6572864e+003  1.1600000e+001  4.1398771e-001
  1.0465978e+001  1.4183366e-029  2.6162006e+003  4.7200000e+000  3.8107554e-002
  1.0481783e+001  6.4726079e-028  1.2944025e+003  2.4000000e+000  7.8301310e-003
  1.0536183e+001  1.3439382e-026  1.2661440e+003  6.9000000e+000  9.0397209e-002
  1.0754530e+001  2.0280530e-027  2.0616460e+003  1.5100000e+001  1.0585767e+000
  1.0759771e+001  2.8666805e-027  1.2838130e+003  1.5100000e+001  1.0585767e+000
  1.0836127e+001  4.2793647e-027  1.4996110e+003  6.3000000e+000  7.3405328e-002
  1.1132722e+001  8.1710769e-027  1.4433121e+003  1.0400000e+001  2.9657899e-001
  1.1177268e+001  2.8124143e-027  1.8305797e+003  1.4300000e+001  8.7510680e-001
  1.1673171e+001  7.2340132e-027  1.6114706e+003  1.3500000e+001  6.9940985e-001
  1.1947244e+001  1.7253583e-026  1.2413132e+003  9.2000000e+000  1.9587914e-001
  1.2017172e+001  2.5994370e-027  1.0798335e+003  2.9000000e+000  9.4577330e-003
  1.2168540e+001  2.5537554e-029  3.0107195e+003  1.8620000e+001  2.4739031e+000
  1.2176654e+001  1.4222610e-029  3.2941596e+003  1.8620000e+001  2.4739031e+000
  1.2211810e+001  8.6712019e-029  2.7389961e+003  1.8220000e+001  2.2607544e+000
  1.2234400e+001  1.8736104e-030  3.5892445e+003  1.2500000e+001  5.3494597e-001
  1.2250526e+001  1.1640705e-031  3.6390827e+003  1.2500000e+001  5.3494597e-001
  1.2251330e+001  3.4204189e-026  1.4043607e+003  1.2500000e+001  5.3494597e-001
  1.2308478e+001  5.5574978e-028  2.4790555e+003  1.7780000e+001  2.0424283e+000
  1.2336462e+001  1.1520711e-026  1.0691529e+003  5.3000000e+000  4.2438733e-002
  1.2340445e+001  4.6792828e-031  3.8958946e+003  5.3000000e+000  4.2438733e-002
  1.2461466e+001  8.3903349e-028  2.2309586e+003  1.7300000e+001  1.8198998e+000
  1.2493507e+001  2.2160487e-031  4.2140218e+003  1.4051737e+001  2.1054946e+000
  1.2674210e+001  2.3816574e-027  1.9947619e+003  1.6700000e+001  1.5945648e+000
  1.2692037e+001  2.4916056e-032  4.5435278e+003  1.4051737e+001  2.1054946e+000
  1.2923040e+001  3.6642011e-026  1.2092877e+003  1.1500000e+001  3.8567179e-001
  1.2933815e+001  5.3220542e-033  4.8843037e+003  1.1500000e+001  3.8567179e-001
  1.2951048e+001  1.2672996e-026  1.7705179e+003  1.6100000e+001  1.3683614e+000
  1.3215571e+001  2.1621175e-033  5.2362322e+003  7.8000000e+000  1.1431071e-001
  1.3296342e+001  6.5460497e-026  1.0513131e+003  7.8000000e+000  1.1431071e-001
  1.3297266e+001  1.5735455e-026  1.5582751e+003  7.8000000e+000  1.1431071e-001
  1.3532858e+001  2.0887155e-034  5.5991915e+003  3.5000000e+000  1.1660125e-002
  1.3612146e+001  9.3946217e-027  8.8412220e+002  3.5000000e+000  1.1660125e-002
  1.3700883e+001  6.9451127e-026  1.0262851e+003  1.0300000e+001  2.5583426e-001
  1.3719230e+001  3.6255951e-026  1.3580782e+003  1.4600000e+001  9.2469718e-001
  1.3880644e+001  3.8404251e-035  5.9730636e+003  6.2000000e+000  5.3603859e-002
  1.3974605e+001  4.1646576e-026  8.7335690e+002  6.2000000e+000  5.3603859e-002
