Frequency (Hz),N,M,L,Absorption (dB/km),2_ Absorption ,Refraction,2_ Refraction,Pressure (bars),2_ Pressure ,Temperature K,2_ Temperature ,2_ Dielectric,2_ Transmissivity,2_ Instrumentation _wave ,Argon Refrac,2_ Refraction Ar,T Argon K,P Argon (bars) ,Ideal H2O conc,Ideal He conc,Ideal H2 conc,H2O Hygrometer Partial Pressure (mbars),2_ Hygrometer ,H2 density (g/m**3),He density (g/m**3),H2O density (g/m**3),X H2O ,X He mole fraction,X H2 mole fraction,Quality Flag
1504285372,0,1,1,0.016079631,0.023159401,2784.603877,0.651471916,21.1611,0.00739465,376.1916667,0.901013889,1.90169E-06,0.023110271,0.000154781,2788.430972,0.651503443,375.95,13.0617,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
1808527805,0,1,2,0.040521392,0.077058091,2787.82668,0.651472026,21.1611,0.00739465,376.1916667,0.901013889,4.04279E-07,0.077056373,0.000511214,2791.46815,0.651592731,376,13.0617,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
2224948942,0,1,3,0.083948603,0.095990721,2791.086745,0.651518239,21.1611,0.00739465,376.1916667,0.901013889,2.36564E-06,0.09597125,0.000724344,2793.803776,0.651664597,376.05,13.0587,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
2793555908,0,2,2,0.070039278,0.05974064,2784.145494,0.651478452,21.1611,0.00739465,376.1916667,0.901013889,1.18562E-06,0.059692802,0.000439955,2787.105992,0.65157189,376.05,13.0622,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
3079559349,0,2,3,0.142001471,0.178004138,2787.217783,0.65149002,21.1611,0.00739465,376.1916667,0.901013889,4.1832E-06,0.177958861,0.000474236,2790.933163,0.651597321,375.95,13.0582,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
3440232410,0,2,4,0.194880535,0.203197285,2790.491679,0.651533246,21.1611,0.00739465,376.1916667,0.901013889,7.34529E-07,0.202933004,0.000882939,2793.11511,0.651551392,376,13.0567,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
4307414243,0,2,6,0.321645247,0.452969018,2792.091117,0.651581886,21.1611,0.00739465,376.1916667,0.901013889,1.46579E-05,0.449155831,0.001977471,2793.802079,0.65165757,376.1,13.0527,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
5067437763,0,3,6,0.304513032,0.149965087,2789.837362,0.651876197,21.1611,0.00739465,376.1916667,0.901013889,7.00836E-07,0.14776966,0.002111277,2790.779611,0.651744162,376.15,13.0527,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
5287699243,0,2,8,0.538078804,0.476002782,2794.265788,0.652233506,21.1611,0.00739465,376.1916667,0.901013889,5.1375E-06,0.470554032,0.002395607,2795.264983,0.652180656,376.2,13.0532,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
5923260586,0,3,8,0.563046734,0.289001769,2791.078912,0.651928124,21.1611,0.00739465,376.1916667,0.901013889,8.75301E-06,0.280619085,0.002022987,2792.025876,0.651816749,376.2,13.0527,0.015500139,0.132907481,0.851592379,NaN,0,1145.386288,354.9230701,189.8130031,0.015787401,0.132868701,0.851343899,0
3085024010,0,2,3,0.108905429,0.166206189,1012.97424,0.664536296,0.3222,0.001178066,376.2,0.901016667,2.72213E-06,0.166193675,0.000474674,1007.581879,0.664537283,376.45,5.0813,1,0,0,NaN,0,0,0,186.4261365,1,0,0,0
3446335985,0,2,4,0.16624668,0.20743401,1010.786496,0.664554782,0.3222,0.001178066,376.2,0.901016667,1.09136E-05,0.207430116,0.000835472,1005.468833,0.664545011,376.5,5.0828,1,0,0,NaN,0,0,0,186.4261365,1,0,0,0
4315054816,0,2,6,0.301596953,0.360409301,1008.290566,0.664609747,0.3222,0.001178066,376.2,0.901016667,1.73235E-07,0.359256214,0.001597594,1003.082788,0.664611501,376.55,5.0828,1,0,0,NaN,0,0,0,186.4261365,1,0,0,0
5076428963,0,3,6,0.255871385,0.165955885,1007.922578,0.664752539,0.3222,0.001178066,376.2,0.901016667,1.57331E-06,0.165069345,0.001798251,1105.756584,0.6647814,370.7,5.0818,1,0,0,NaN,0,0,0,186.4261365,1,0,0,0
5297081664,0,2,8,0.541388124,0.442064387,1008.353599,0.665060972,0.3222,0.001178066,376.2,0.901016667,1.25026E-05,0.44204441,0.002331097,1004.263554,0.66500936,376.5,5.0843,1,0,0,NaN,0,0,0,186.4261365,1,0,0,0
5933769819,0,3,8,0.356038239,0.271169628,1008.04088,0.664790055,0.3222,0.001178066,376.2,0.901016667,2.17471E-06,0.263872315,0.002474945,1002.87856,0.665085062,376.55,5.0838,1,0,0,NaN,0,0,0,186.4261365,1,0,0,0
